OccurrenceTime,Level,Latitude,Longitude,Depth,Location
2021-01-16 17:26:43,5.2,-6.45,103.72,40,印尼苏门答腊岛南部海域
2021-01-16 05:31:05,5.4,26.83,55.13,10,伊朗
2021-01-16 00:10:52,5.5,13.92,-92.04,30,危地马拉沿岸近海
2021-01-15 20:32:41,3.8,38.43,97.35,9,青海海西州德令哈市
2021-01-15 02:28:17,6.2,-3.04,118.99,10,印尼苏拉威西岛
2021-01-15 00:28:10,4.7,25.21,124.41,140,琉球群岛
2021-01-14 17:21:59,3.6,36.06,104.05,16,甘肃兰州市榆中县
2021-01-14 14:35:49,5.6,-3.04,118.94,10,印尼苏拉威西岛
2021-01-14 06:28:19,2.6,43.64,88.15,10,新疆乌鲁木齐市达坂城区（有感）
2021-01-13 02:17:36,5.8,-3.05,136.95,10,印尼巴布亚省
2021-01-12 10:39:42,5.6,43.66,140.16,230,日本北海道地区
2021-01-12 05:32:59,6.8,51.28,100.5,10,蒙古
2021-01-11 09:20:40,5.7,-7.40,120.5,600,弗洛勒斯海
2021-01-11 08:24:36,5,25.55,124.5,150,琉球群岛
2021-01-11 02:54:37,3.4,42.61,123.13,15,辽宁沈阳市康平县
2021-01-10 14:48:21,5.9,-16.00,167.85,170,瓦努阿图群岛
2021-01-10 11:54:10,6,-24.06,-66.69,200,阿根廷
2021-01-10 11:23:29,4.3,23.77,121.49,11,台湾花莲县
2021-01-10 03:10:47,3.1,39.4,93.75,10,甘肃酒泉市阿克塞县
2021-01-09 19:35:50,5.1,24.7,122.21,80,台湾宜兰县海域
2021-01-09 14:44:43,3.1,39.72,74.86,10,新疆克孜勒苏州乌恰县
2021-01-08 13:01:05,6,-20.89,169.8,120,瓦努阿图群岛
2021-01-08 11:54:41,3.1,42.12,81.02,10,新疆阿克苏地区拜城县
2021-01-08 11:48:56,4.2,42.11,81.02,10,新疆阿克苏地区拜城县
2021-01-08 11:39:03,3.9,42.03,85.76,14,新疆巴音郭楞州库尔勒市
2021-01-08 08:28:45,6.1,-29.63,-178.40,200,新西兰克马德克群岛海域
2021-01-07 04:59:36,6.3,-0.03,123,130,印尼苏拉威西岛附近海域
2021-01-07 01:28:35,5.6,-4.55,102.5,50,印尼苏门答腊岛南部海域
2021-01-07 00:52:19,5.9,-7.02,155.92,80,所罗门群岛
2021-01-06 22:08:46,3.4,41.21,78.78,10,新疆阿克苏地区乌什县
2021-01-06 16:46:06,3.8,37.99,120.41,7,山东烟台市蓬莱区海域
2021-01-06 14:20:34,6.1,-28.81,-177.10,10,新西兰克马德克群岛海域
2021-01-05 18:48:25,3.2,39.18,75.76,10,新疆喀什地区疏附县
2021-01-05 11:49:26,3.1,42.31,81.13,10,新疆伊犁州昭苏县
2021-01-05 08:45:31,3.1,35.78,82.49,10,新疆和田地区于田县
2021-01-04 21:49:35,3.3,31.08,119.51,6,安徽宣城市广德县
2021-01-04 10:58:29,4.2,29.41,104.02,13,四川乐山市犍为县
2021-01-04 00:34:11,3.2,29.43,104.52,10,四川自贡市荣县
2021-01-03 20:38:48,6,51.11,-179.74,20,安德烈亚诺夫群岛海域
2021-01-03 16:16:30,3.6,43.86,91.48,10,新疆昌吉州木垒县
2021-01-03 08:34:37,3,24.69,117.7,28,福建漳州市长泰县
2021-01-03 02:40:25,3.2,25.63,99.92,11,云南大理州漾濞县
2021-01-02 21:26:47,4.4,24.07,122.24,24,台湾花莲县海域
2021-01-02 04:24:34,3.5,36.86,94.62,9,青海海西州格尔木市
2021-01-01 06:07:08,3,26.24,101.27,16,云南楚雄州大姚县
